"","Group.1","x"
"84","1010",5196.00111807347
"85","10100",103.55
"86","10101",20146.399736446
"87","10102",4314.5921277078
"88","10104",35390.6952814756
"89","10105",44616.2236251112
"90","10106",2134.67313785108
"91","10107",122306.455163752
"92","10108",512.789999999999
"93","10109",35544.4307412696
"94","1011",169410.743963777
"95","10111",14999.4915056748
"96","10112",39453.3708189722
"97","10113",24792.6359306761
"98","10114",8866.23059593571
"99","10115",64002.1266796922
"100","10117",33095.3565344198
"101","10118",5010.11951132081
"102","10119",43711.4437169951
"103","1012",961.876430778959
"104","10120",18655.5169618471
"105","10121",209161.525479038
"106","10122",6742.00791292674
"107","10124",9466.80745717114
"108","10125",12212.0785750664
"109","10126",63517.324148912
"110","10128",51051.2416835559
"111","1013",1433.23966540409
"112","10131",36191.4989910328
"113","10132",9944.66349539107
"114","10133",4033.67119109127
"115","10135",16169.7809897449
"116","1016",155.529519312847
"117","1017",166.972614832007
"118","1018",2635.02445065329
"119","1019",883.755674338101
"120","1022",8104.01293243917
"121","1024",9852.58172684162
"122","1025",7982.63171878909
"123","1026",52009.3120204671
"124","1028",3771.19649769232
"125","1029",205.528827407863
"126","1031",141.677151367151
"127","1032",7308.64150430266
"128","1033",4756.41612230265
"129","1036",18176.2995092499
"130","1037",7610.30902888173
"131","1038",5431.60104075521
"132","1039",14224.4000159604
"133","1040",1718.01461325332
"134","1044",1191.70288628013
"135","1045",974.32
"136","1046",1568.82716076114
"137","1047",170.689467874152
"138","1048",1478.57120981882
"139","1049",87.0018330039525
"140","1051",70305.9236459833
"141","1053",660.394220033179
"142","1054",6962.83211574225
"143","1057",62571.9105343573
"144","1059",50604.6465588197
"145","1060",168.320227494641
"146","1061",9185.42177676044
"147","1063",490.534597895824
"148","1064",20378.5489107337
"149","1066",1097.4036460404
"150","1068",161.547892740825
"151","1070",130.394941553072
"152","1071",170.197730974306
"153","1072",198.765185192583
"154","1073",4097.09470825288
"155","1074",9008.83945909344
"156","1075",8333.59481022023
"157","1077",2582.8467802402
"158","1078",1810.50686444322
"159","1079",165.331739344666
"160","1081",1064.40816870331
"161","1082",44223.3224447504
"162","1083",74.9100256695473
"163","1084",166.391865137865
"164","1086",1589.85777450426
"165","1088",2415.23759211664
"166","11002",30539.7622683891
"167","11004",2557.16537288021
"168","11006",63422.2283138539
"169","11007",210793.994994683
"170","11008",133360.937221631
"171","11009",22397.9114396555
"172","11010",4883.64392738303
"173","11011",1730.96669764348
"174","11013",2499.8440806083
"175","11014",18.6561224489796
"176","11015",4309.86357305296
"177","11017",2156.64447272329
"178","11018",20437.3997476914
"179","11020",58.5
"180","11021",3876.96353499986
"181","11023",12546.8716476864
"182","11024",20353.6632395646
"183","11025",6003.69760998185
"184","11029",206.224066666667
"185","11032",42345.0689210742
"186","11033",1778.72048885976
"187","11034",10661.2093561484
"188","11035",5205.66446706583
"189","11036",4547.49685606881
"190","11039",333.361757374324
"191","11040",960.192516751302
"192","11041",6776.70893619416
"193","11043",36234.9625023958
"194","11044",1977.16107845596
"195","11045",1865.95183088877
"196","11046",9176.05043094755
"197","11047",12870.4677961883
"198","11048",14092.8967469416
"199","11049",7440.15604360467
"200","11053",287.914736842105
"201","11055",2200.64412045319
"202","11057",2399.63420594461
"203","11059",45464.7229218653
"204","11062",5554.78007398144
"205","11066",582.769999999999
"206","11067",1502.95721591948
"207","11068",3297.73436975854
"208","11071",2945.36282874395
"209","11072",4877.28633326353
"210","11073",12933.6038261777
"211","11075",43789.5043432893
"212","11078",68405.6228265462
"213","11080",52130.6516259592
"214","11081",410.7772899729
"215","11083",1078.68507710684
"216","11085",1542.77199914281
"217","11088",476.372105263157
"218","11089",371.791584485406
"219","11090",13167.8016313767
"220","11094",328.734705882353
"221","11096",28183.4410052243
"222","11098",20018.2841024567
"223","11099",30157.4183532007
"224","11100",416.016248765344
"225","11101",670.756866904061
"226","11102",82093.7145185458
"227","11103",3584.98806665819
"228","11104",22503.5797558556
"229","11105",309.28
"230","11107",268.935877777719
"231","11108",8496.73357807475
"232","11109",19602.2418397785
"233","11112",34.51
